Participant,D2Criterion,Case,D1Criterion,D1C1,D1C2,D1C3,D1C4,D1C5,D2C2,D2C1,D2C5,D2C4,D2C3,Order,Block,n,CompSelected_mean,CompSelected_raw,CompSelected_std,Correct_mean,Correct_raw,Correct_std,TrainTrial
3,11.4752932,2,66.03838905,1,1,0,1,0,0,0,1,0,0,1,2,1,1,1,0,1,1,0,62
3,52.04602876,5,41.87861051,1,1,0,1,0,0,1,0,0,0,1,2,1,1,1,0,0,0,0,63
3,0.446301291,3,73.89210303,1,0,1,1,1,0,0,0,0,0,1,2,1,1,1,0,1,1,0,64
3,8.895443237,1,69.09867493,0,1,1,1,0,0,1,1,0,0,1,2,1,1,1,0,1,1,0,65
3,12.64034278,8,80.31715172,1,0,0,0,0,0,0,0,1,0,2,2,1,1,1,0,1,1,0,66
3,12.34624909,9,91.76919687,1,1,1,0,1,1,0,1,1,0,2,2,1,1,1,0,1,1,0,67
3,88.79940149,10,5.98752079,1,1,0,1,0,1,1,1,1,0,2,2,1,2,2,0,1,1,0,68
3,83.61521103,6,32.25636513,0,0,0,0,0,1,1,0,1,1,2,2,1,2,2,0,1,1,0,69
3,76.71870062,7,9.238803164,0,0,1,0,1,0,1,1,0,1,2,2,1,2,2,0,1,1,0,70
3,11.34629526,14,56.84575748,0,1,1,0,0,0,0,1,0,0,3,2,1,1,1,0,1,1,0,71
3,55.75843332,13,37.25995306,1,0,1,0,1,1,1,0,0,0,3,2,1,2,2,0,1,1,0,72
3,52.04850853,12,0.425388318,0,0,0,0,1,1,1,0,0,1,3,2,1,2,2,0,1,1,0,73
3,10.34419,11,78.38037251,1,1,0,1,0,0,0,0,0,0,3,2,1,1,1,0,1,1,0,74
3,32.89566483,15,51.37085504,0,1,1,1,1,0,0,0,1,0,3,2,1,1,1,0,1,1,0,75
4,75.52583157,3,10.56955176,0,0,0,0,0,0,1,0,1,1,1,5,1,2,2,0,1,1,0,1
4,36.8968901,2,51.26408742,1,0,1,1,0,0,0,0,0,0,1,5,1,1,1,0,1,1,0,2
4,81.23393467,4,24.19977384,0,0,0,0,0,0,0,0,1,0,1,5,1,1,1,0,0,0,0,3
4,18.36984614,5,54.93013438,0,0,1,0,0,0,0,0,1,0,1,5,1,1,1,0,1,1,0,4
4,44.95939899,1,79.73820581,1,1,0,1,1,0,0,1,0,0,1,5,1,1,1,0,1,1,0,5
4,93.20683049,10,33.44315779,0,0,1,0,1,0,0,0,0,0,2,5,1,1,1,0,0,0,0,6
4,92.20569694,9,46.17360724,0,0,1,0,0,0,1,1,0,0,2,5,1,2,2,0,1,1,0,7
4,57.79692956,8,4.259146044,0,0,0,1,0,0,1,1,0,1,2,5,1,2,2,0,1,1,0,8
4,54.89616799,7,15.93842591,0,1,0,0,1,0,1,1,0,1,2,5,1,2,2,0,1,1,0,9
4,17.66266247,6,63.2252188,0,1,1,1,1,0,0,0,0,0,2,5,1,1,1,0,1,1,0,10
4,33.25043965,15,92.56099387,1,1,0,0,1,0,0,0,0,1,3,5,1,1,1,0,1,1,0,11
4,56.76902605,11,0.581961979,1,0,0,0,1,1,1,0,1,0,3,5,1,2,2,0,1,1,0,12
4,67.16392984,13,20.24424705,1,0,1,0,0,1,0,1,0,1,3,5,1,2,2,0,1,1,0,13
4,94.72671527,14,11.13144781,0,0,0,1,1,1,0,1,1,0,3,5,1,2,2,0,1,1,0,14
4,51.25726353,12,34.988827,0,0,1,0,1,1,1,1,0,1,3,5,1,2,2,0,1,1,0,15
4,46.35867525,4,82.33195332,1,1,0,1,0,0,0,0,0,0,1,3,1,1,1,0,1,1,0,16
4,8.158452162,3,75.49090581,1,0,0,1,0,0,0,0,0,1,1,3,1,1,1,0,1,1,0,17
4,87.39698246,5,7.280613839,0,0,1,0,1,0,0,0,0,1,1,3,1,2,2,0,1,1,0,18
4,97.59792844,2,22.46707083,0,0,0,0,0,0,1,1,1,1,1,3,1,2,2,0,1,1,0,19
4,99.57248405,1,4.746335739,0,0,1,0,0,1,0,1,1,1,1,3,1,2,2,0,1,1,0,20
4,12.60352786,10,74.8292457,0,0,1,0,0,0,0,0,0,0,2,3,1,1,1,0,1,1,0,21
4,19.96611028,6,54.74243172,1,0,1,1,0,0,0,0,1,0,2,3,1,1,1,0,1,1,0,22
4,66.855591,8,48.20876822,0,1,0,0,0,0,0,1,1,1,2,3,1,2,2,0,1,1,0,23
4,93.4357086,7,13.2445702,0,1,0,0,0,1,1,0,1,1,2,3,1,2,2,0,1,1,0,24
4,60.59065975,9,32.28342434,0,0,1,1,1,1,1,0,1,0,2,3,1,2,2,0,1,1,0,25
4,87.58448291,11,45.87695377,0,0,0,0,0,1,0,1,1,1,3,3,1,2,2,0,1,1,0,26
4,87.53092688,13,3.142726627,0,0,1,1,0,1,0,0,0,0,3,3,1,1,1,0,0,0,0,27
4,93.79567535,14,46.8313429,0,0,0,0,0,1,0,1,0,0,3,3,1,2,2,0,1,1,0,28
4,92.09788271,15,7.64748573,0,0,0,1,1,1,1,1,0,0,3,3,1,2,2,0,1,1,0,29
4,23.29857382,12,83.87165709,1,1,1,0,0,0,0,1,0,1,3,3,1,2,2,0,0,0,0,30
4,0.446301291,3,73.89210303,1,0,1,1,1,0,0,0,0,0,1,2,1,1,1,0,1,1,0,31
4,40.27830244,4,56.19386629,0,0,0,1,0,0,0,0,0,1,1,2,1,1,1,0,1,1,0,32
4,52.04602876,5,41.87861051,1,1,0,1,0,0,1,0,0,0,1,2,1,1,1,0,0,0,0,33
4,8.895443237,1,69.09867493,0,1,1,1,0,0,1,1,0,0,1,2,1,1,1,0,1,1,0,34
4,11.4752932,2,66.03838905,1,1,0,1,0,0,0,1,0,0,1,2,1,1,1,0,1,1,0,35
